id,R1-DP,R1-INT,R1-PRESORT,R1-SP,R2-DP,R2-INT,R2-PRESORT,R2-SP
ENSE00000390707_036 mut chr17:42332540-42332709 strand=-1 len=35.90.45,113.0,0.0,0.0,0.0,51.0,0.0,12.0,0.0
ENSE00000390707_037 mut chr17:42332540-42332709 strand=-1 len=35.90.45,506.0,35.0,170.0,0.0,226.0,61.0,81.0,7.0
ENSE00000390707_038 mut chr17:42332540-42332709 strand=-1 len=35.90.45,376.0,12.0,66.0,2.0,211.0,0.0,94.0,0.0
ENSE00000390707_039 mut chr17:42332540-42332709 strand=-1 len=35.90.45,203.0,0.0,18.0,0.0,165.0,0.0,16.0,1.0
ENSE00000390707_040 mut chr17:42332540-42332709 strand=-1 len=35.90.45,794.0,0.0,97.0,0.0,751.0,0.0,203.0,31.0
ENSE00000390707_041 mut chr17:42332540-42332709 strand=-1 len=35.90.45,584.0,3.0,177.0,11.0,692.0,2.0,222.0,1.0
ENSE00000390707_042 mut chr17:42332540-42332709 strand=-1 len=35.90.45,115.0,0.0,55.0,0.0,19.0,0.0,38.0,0.0
ENSE00000390707_043 mut chr17:42332540-42332709 strand=-1 len=35.90.45,293.0,15.0,69.0,0.0,50.0,2.0,22.0,0.0
ENSE00000390707_044 mut chr17:42332540-42332709 strand=-1 len=35.90.45,456.0,0.0,94.0,0.0,280.0,0.0,56.0,0.0
ENSE00000390707_045 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1059.0,7.0,202.0,3.0,611.0,1.0,254.0,0.0
ENSE00000390707_046 mut chr17:42332540-42332709 strand=-1 len=35.90.45,563.0,7.0,83.0,9.0,864.0,84.0,330.0,5.0
ENSE00000390707_047 mut chr17:42332540-42332709 strand=-1 len=35.90.45,223.0,0.0,24.0,0.0,29.0,0.0,29.0,0.0
ENSE00000390707_048 mut chr17:42332540-42332709 strand=-1 len=35.90.45,854.0,0.0,134.0,0.0,416.0,0.0,207.0,2.0
ENSE00000390707_049 mut chr17:42332540-42332709 strand=-1 len=35.90.45,239.0,12.0,59.0,0.0,115.0,1.0,21.0,0.0
ENSE00000390707_050 mut chr17:42332540-42332709 strand=-1 len=35.90.45,191.0,0.0,43.0,9.0,346.0,0.0,92.0,19.0
ENSE00000390707_051 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1003.0,2.0,268.0,0.0,372.0,0.0,161.0,2.0
ENSE00000390707_052 mut chr17:42332540-42332709 strand=-1 len=35.90.45,282.0,0.0,76.0,2.0,346.0,0.0,96.0,1.0
ENSE00000390707_053 mut chr17:42332540-42332709 strand=-1 len=35.90.45,163.0,14.0,41.0,4.0,7.0,0.0,7.0,0.0
ENSE00000390707_054 mut chr17:42332540-42332709 strand=-1 len=35.90.45,384.0,12.0,87.0,0.0,212.0,0.0,94.0,12.0
ENSE00000390707_055 mut chr17:42332540-42332709 strand=-1 len=35.90.45,336.0,1.0,96.0,0.0,218.0,0.0,61.0,0.0
ENSE00000390707_056 mut chr17:42332540-42332709 strand=-1 len=35.90.45,23.0,0.0,23.0,0.0,1.0,0.0,18.0,0.0
ENSE00000390707_057 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1525.0,0.0,193.0,10.0,482.0,11.0,249.0,28.0
ENSE00000390707_058 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1414.0,35.0,282.0,0.0,527.0,14.0,178.0,3.0
ENSE00000390707_059 mut chr17:42332540-42332709 strand=-1 len=35.90.45,282.0,0.0,38.0,0.0,49.0,0.0,6.0,0.0
ENSE00000390707_060 mut chr17:42332540-42332709 strand=-1 len=35.90.45,366.0,10.0,90.0,0.0,182.0,0.0,73.0,0.0
ENSE00000390707_061 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1387.0,1.0,349.0,15.0,334.0,2.0,81.0,0.0
ENSE00000390707_062 mut chr17:42332540-42332709 strand=-1 len=35.90.45,526.0,0.0,141.0,1.0,473.0,0.0,117.0,4.0
ENSE00000390707_063 mut chr17:42332540-42332709 strand=-1 len=35.90.45,173.0,0.0,33.0,0.0,337.0,0.0,95.0,1.0
ENSE00000390707_064 mut chr17:42332540-42332709 strand=-1 len=35.90.45,805.0,15.0,239.0,29.0,466.0,4.0,214.0,18.0
ENSE00000390707_065 mut chr17:42332540-42332709 strand=-1 len=35.90.45,214.0,0.0,42.0,0.0,63.0,0.0,25.0,9.0
ENSE00000390707_066 mut chr17:42332540-42332709 strand=-1 len=35.90.45,251.0,0.0,62.0,1.0,147.0,0.0,48.0,14.0
ENSE00000390707_067 mut chr17:42332540-42332709 strand=-1 len=35.90.45,346.0,10.0,66.0,0.0,198.0,2.0,129.0,0.0
ENSE00000390707_068 mut chr17:42332540-42332709 strand=-1 len=35.90.45,394.0,2.0,105.0,4.0,372.0,0.0,109.0,9.0
ENSE00000390707_069 mut chr17:42332540-42332709 strand=-1 len=35.90.45,202.0,5.0,47.0,0.0,624.0,21.0,295.0,18.0
ENSE00000390707_070 mut chr17:42332540-42332709 strand=-1 len=35.90.45,724.0,20.0,106.0,20.0,460.0,48.0,155.0,2.0
ENSE00000390707_071 mut chr17:42332540-42332709 strand=-1 len=35.90.45,63.0,0.0,17.0,0.0,61.0,0.0,42.0,0.0
ENSE00000390707_072 mut chr17:42332540-42332709 strand=-1 len=35.90.45,167.0,0.0,39.0,0.0,154.0,0.0,20.0,0.0
ENSE00000390707_073 mut chr17:42332540-42332709 strand=-1 len=35.90.45,530.0,6.0,119.0,3.0,649.0,0.0,218.0,11.0
ENSE00000390707_074 mut chr17:42332540-42332709 strand=-1 len=35.90.45,548.0,0.0,120.0,10.0,238.0,0.0,55.0,1.0
"ENSE00000394466 chr4:5851080-5851249 strand=-1 len=39.81.50 ccds=CCDS43207.1,CCDS43207.1,CCDS33950.1",2.0,3.0,6.0,19.0,0.0,1.0,9.0,9.0
"ENSE00000400053 chr7:150913005-150913174 strand=-1 len=48.63.59 ccds=CCDS5922.1,CCDS5923.1",0.0,24.0,44.0,59.0,16.0,10.0,114.0,158.0
ENSE00000401072 chrX:99887444-99887613 strand=-1 len=38.84.48 ccds=CCDS14470.1,32.0,46.0,162.0,355.0,8.0,40.0,245.0,521.0
"ENSE00000406138 chr8:87549743-87549912 strand=1 len=48.84.38 ccds=CCDS6243.1,CCDS6243.1",46.0,0.0,98.0,63.0,235.0,4.0,133.0,62.0
ENSE00000406871 chr17:26912304-26912473 strand=-1 len=33.93.44 ccds=CCDS32594.1,0.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0
ENSE00000406882 chr17:26905651-26905820 strand=-1 len=39.81.50 ccds=CCDS32594.1,650.0,1.0,230.0,0.0,299.0,7.0,78.0,2.0
"ENSE00000411838 chr2:211447297-211447466 strand=1 len=44.93.33 ccds=CCDS2393.1,CCDS46505.1",4.0,29.0,95.0,221.0,5.0,0.0,21.0,134.0
"ENSE00000411843 chr2:211457552-211457721 strand=1 len=51.78.41 ccds=CCDS2393.1,CCDS46505.1",0.0,0.0,2.0,0.0,9.0,0.0,0.0,2.0
"ENSE00000411861 chr2:211518698-211518867 strand=1 len=51.78.41 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",3.0,34.0,77.0,120.0,36.0,17.0,177.0,142.0
"ENSE00000411863 chr2:211523278-211523447 strand=1 len=45.90.35 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
"ENSE00000411866 chr2:211532869-211533038 strand=1 len=41.99.30 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",40.0,12.0,104.0,153.0,17.0,1.0,116.0,93.0
"ENSE00000411867 chr2:211539566-211539735 strand=1 len=60.60.50 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",53.0,15.0,232.0,380.0,23.0,9.0,294.0,316.0
ENSE00000412284 chr3:182547410-182547579 strand=1 len=50.81.39 ccds=CCDS33896.1,0.0,0.0,19.0,9.0,0.0,0.0,9.0,37.0
"ENSE00000412978 chrX:149912789-149912958 strand=1 len=44.93.33 ccds=CCDS14695.1,CCDS14695.1",112.0,28.0,106.0,408.0,24.0,30.0,443.0,712.0
ENSE00000415302 chr1:202302335-202302504 strand=-1 len=30.99.41 ccds=CCDS1425.1,151.0,16.0,50.0,1.0,279.0,0.0,97.0,25.0
"ENSE00000417418 chr2:15757327-15757496 strand=1 len=41.99.30 ccds=CCDS1686.1,CCDS1686.1",40.0,10.0,5.0,0.0,37.0,4.0,32.0,2.0
ENSE00000417581 chr2:118586463-118586632 strand=1 len=62.57.51 ccds=CCDS2120.1,15.0,10.0,270.0,489.0,16.0,37.0,83.0,86.0
ENSE00000417663 chr19:55666074-55666243 strand=-1 len=35.90.45 ccds=CCDS42628.1,13.0,0.0,7.0,12.0,0.0,0.0,21.0,0.0
"ENSE00000422478 chr4:71650465-71650634 strand=1 len=48.84.38 ccds=CCDS47068.1,CCDS34001.1,CCDS3547.1",40.0,1.0,99.0,157.0,25.0,20.0,90.0,255.0
"ENSE00000430832 chr17:3486599-3486768 strand=-1 len=33.93.44 ccds=CCDS45576.1,CCDS45576.1",0.0,0.0,76.0,191.0,30.0,9.0,67.0,113.0
ENSE00000430832_001 mut chr17:3486599-3486768 strand=-1 len=33.93.44,18.0,25.0,57.0,114.0,1.0,2.0,26.0,26.0
ENSE00000430832_002 mut chr17:3486599-3486768 strand=-1 len=33.93.44,156.0,0.0,138.0,113.0,105.0,26.0,47.0,31.0
ENSE00000430832_003 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,13.0,46.0,102.0,0.0,10.0,9.0,10.0
ENSE00000430832_004 mut chr17:3486599-3486768 strand=-1 len=33.93.44,1.0,0.0,7.0,77.0,0.0,1.0,16.0,5.0
ENSE00000430832_005 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,34.0,80.0,0.0,0.0,74.0,15.0
ENSE00000430832_006 mut chr17:3486599-3486768 strand=-1 len=33.93.44,175.0,79.0,69.0,45.0,9.0,17.0,192.0,265.0
ENSE00000430832_007 mut chr17:3486599-3486768 strand=-1 len=33.93.44,416.0,0.0,46.0,0.0,76.0,66.0,13.0,0.0
ENSE00000430832_008 mut chr17:3486599-3486768 strand=-1 len=33.93.44,46.0,0.0,25.0,8.0,0.0,0.0,14.0,66.0
ENSE00000430832_009 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,5.0,42.0,62.0,0.0,0.0,51.0,14.0
ENSE00000430832_010 mut chr17:3486599-3486768 strand=-1 len=33.93.44,102.0,0.0,13.0,0.0,116.0,0.0,40.0,5.0
ENSE00000430832_011 mut chr17:3486599-3486768 strand=-1 len=33.93.44,16.0,8.0,46.0,76.0,0.0,0.0,67.0,118.0
ENSE00000430832_012 mut chr17:3486599-3486768 strand=-1 len=33.93.44,27.0,15.0,9.0,35.0,18.0,0.0,13.0,0.0
ENSE00000430832_013 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,7.0,9.0,50.0,0.0,12.0,0.0,0.0
ENSE00000430832_014 mut chr17:3486599-3486768 strand=-1 len=33.93.44,26.0,5.0,55.0,116.0,1.0,19.0,29.0,78.0
ENSE00000430832_015 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,10.0,21.0,87.0,0.0,34.0,0.0,13.0
ENSE00000430832_016 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,77.0,41.0,57.0,0.0,0.0,15.0,105.0
ENSE00000430832_017 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,0.0,24.0,0.0,27.0,63.0,38.0
ENSE00000430832_018 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,109.0,44.0,85.0,0.0,0.0,18.0,31.0
ENSE00000430832_019 mut chr17:3486599-3486768 strand=-1 len=33.93.44,59.0,0.0,36.0,8.0,36.0,0.0,37.0,3.0
ENSE00000430832_020 mut chr17:3486599-3486768 strand=-1 len=33.93.44,31.0,0.0,3.0,0.0,13.0,81.0,9.0,81.0
ENSE00000430832_021 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,12.0,33.0,83.0,1.0,5.0,18.0,19.0
ENSE00000430832_022 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,26.0,0.0,0.0,0.0,59.0,20.0,5.0
ENSE00000430832_023 mut chr17:3486599-3486768 strand=-1 len=33.93.44,51.0,0.0,52.0,47.0,213.0,0.0,101.0,81.0
ENSE00000430832_024 mut chr17:3486599-3486768 strand=-1 len=33.93.44,95.0,0.0,24.0,0.0,79.0,0.0,49.0,0.0
ENSE00000430832_025 mut chr17:3486599-3486768 strand=-1 len=33.93.44,16.0,2.0,36.0,40.0,49.0,0.0,7.0,24.0
ENSE00000430832_026 mut chr17:3486599-3486768 strand=-1 len=33.93.44,38.0,69.0,134.0,218.0,0.0,0.0,91.0,71.0
ENSE00000430832_027 mut chr17:3486599-3486768 strand=-1 len=33.93.44,24.0,711.0,152.0,19.0,9.0,295.0,153.0,10.0
ENSE00000430832_028 mut chr17:3486599-3486768 strand=-1 len=33.93.44,6.0,16.0,52.0,97.0,0.0,3.0,79.0,131.0
ENSE00000430832_029 mut chr17:3486599-3486768 strand=-1 len=33.93.44,1.0,283.0,56.0,145.0,27.0,3.0,34.0,31.0
ENSE00000430832_030 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,5.0,16.0,83.0,0.0,15.0,0.0,45.0
ENSE00000430832_031 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,8.0,23.0,59.0,2.0,2.0,15.0,32.0
ENSE00000430832_032 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,7.0,4.0,0.0,0.0,5.0,10.0
ENSE00000430832_033 mut chr17:3486599-3486768 strand=-1 len=33.93.44,92.0,0.0,35.0,57.0,6.0,4.0,28.0,46.0
ENSE00000430832_034 mut chr17:3486599-3486768 strand=-1 len=33.93.44,47.0,3.0,43.0,135.0,2.0,0.0,4.0,45.0
ENSE00000430832_035 mut chr17:3486599-3486768 strand=-1 len=33.93.44,5.0,0.0,45.0,141.0,9.0,3.0,45.0,71.0
ENSE00000430832_036 mut chr17:3486599-3486768 strand=-1 len=33.93.44,40.0,4.0,64.0,147.0,3.0,0.0,42.0,14.0
ENSE00000430832_037 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,43.0,35.0,0.0,0.0,73.0,43.0
ENSE00000430832_038 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,37.0,49.0,58.0,0.0,0.0,9.0,5.0
ENSE00000430832_039 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0
ENSE00000430832_040 mut chr17:3486599-3486768 strand=-1 len=33.93.44,1.0,145.0,37.0,10.0,0.0,20.0,0.0,24.0
ENSE00000430832_041 mut chr17:3486599-3486768 strand=-1 len=33.93.44,52.0,0.0,1.0,8.0,0.0,0.0,13.0,3.0
ENSE00000430832_042 mut chr17:3486599-3486768 strand=-1 len=33.93.44,24.0,0.0,9.0,18.0,0.0,0.0,46.0,78.0
ENSE00000430832_043 mut chr17:3486599-3486768 strand=-1 len=33.93.44,39.0,51.0,52.0,5.0,3.0,89.0,61.0,8.0
ENSE00000430832_044 mut chr17:3486599-3486768 strand=-1 len=33.93.44,198.0,0.0,57.0,0.0,98.0,0.0,22.0,0.0
ENSE00000430832_045 mut chr17:3486599-3486768 strand=-1 len=33.93.44,168.0,0.0,37.0,0.0,7.0,0.0,0.0,0.0
ENSE00000430832_046 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,24.0,1.0,0.0,0.0,0.0,7.0
ENSE00000430832_047 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,28.0,27.0,0.0,7.0,14.0,39.0
ENSE00000430832_048 mut chr17:3486599-3486768 strand=-1 len=33.93.44,239.0,0.0,62.0,0.0,107.0,6.0,34.0,2.0
ENSE00000430832_049 mut chr17:3486599-3486768 strand=-1 len=33.93.44,4.0,41.0,59.0,32.0,0.0,0.0,18.0,69.0
ENSE00000430832_050 mut chr17:3486599-3486768 strand=-1 len=33.93.44,6.0,0.0,33.0,87.0,0.0,9.0,19.0,100.0
ENSE00000430832_051 mut chr17:3486599-3486768 strand=-1 len=33.93.44,7.0,25.0,50.0,89.0,0.0,28.0,10.0,51.0
ENSE00000430832_052 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,20.0,33.0,0.0,5.0,16.0,23.0
ENSE00000430832_053 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,39.0,63.0,86.0,5.0,0.0,15.0,46.0
ENSE00000430832_054 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,37.0,38.0,0.0,0.0,7.0,23.0
ENSE00000430832_055 mut chr17:3486599-3486768 strand=-1 len=33.93.44,36.0,3.0,34.0,32.0,5.0,1.0,154.0,163.0
ENSE00000430832_056 mut chr17:3486599-3486768 strand=-1 len=33.93.44,593.0,0.0,120.0,13.0,271.0,1.0,127.0,9.0
