id,R1-DN,R1-DP,R1-INT,R1-PRESORT,R1-SP,R2-DN,R2-DP,R2-INT,R2-PRESORT,R2-SP
ENSE00000390707_036 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,90.0,0.0,48.0,0.0,0.0,1603.0,0.0,1293.0,88.0
ENSE00000390707_037 mut chr17:42332540-42332709 strand=-1 len=35.90.45,20.0,3020.0,1.0,1799.0,0.0,0.0,1003.0,35.0,106.0,1.0
ENSE00000390707_038 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1824.0,25.0,1520.0,0.0,36.0,4648.0,245.0,4007.0,723.0
ENSE00000390707_039 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1136.0,1.0,519.0,0.0,0.0,2552.0,0.0,1870.0,38.0
ENSE00000390707_040 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1469.0,104.0,1120.0,66.0,0.0,2694.0,1.0,2210.0,0.0
ENSE00000390707_041 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,5246.0,68.0,3444.0,56.0,0.0,3425.0,143.0,2617.0,36.0
ENSE00000390707_042 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1235.0,0.0,950.0,574.0,9.0,1932.0,54.0,1335.0,95.0
ENSE00000390707_043 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1042.0,1.0,686.0,0.0,0.0,2216.0,0.0,1342.0,109.0
ENSE00000390707_044 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1477.0,0.0,860.0,0.0,0.0,2688.0,0.0,2168.0,400.0
ENSE00000390707_045 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,2623.0,93.0,2144.0,88.0,0.0,6975.0,0.0,3160.0,0.0
ENSE00000390707_046 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,3970.0,45.0,3122.0,391.0,0.0,4207.0,76.0,2719.0,392.0
ENSE00000390707_047 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1720.0,43.0,928.0,105.0,0.0,784.0,139.0,577.0,224.0
ENSE00000390707_048 mut chr17:42332540-42332709 strand=-1 len=35.90.45,274.0,3396.0,43.0,3303.0,39.0,23.0,7001.0,48.0,3223.0,61.0
ENSE00000390707_049 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,582.0,0.0,213.0,0.0,0.0,1603.0,0.0,1036.0,0.0
ENSE00000390707_050 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1995.0,0.0,1449.0,111.0,0.0,4078.0,0.0,2658.0,0.0
ENSE00000390707_051 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1412.0,0.0,744.0,0.0,0.0,797.0,26.0,105.0,0.0
ENSE00000390707_052 mut chr17:42332540-42332709 strand=-1 len=35.90.45,31.0,2932.0,0.0,1492.0,0.0,0.0,2014.0,20.0,166.0,47.0
ENSE00000390707_053 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,525.0,13.0,240.0,0.0,0.0,1038.0,0.0,501.0,98.0
ENSE00000390707_054 mut chr17:42332540-42332709 strand=-1 len=35.90.45,76.0,1375.0,0.0,620.0,0.0,0.0,4358.0,45.0,2389.0,0.0
ENSE00000390707_055 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,2475.0,1.0,2065.0,0.0,1.0,3354.0,0.0,2045.0,1.0
ENSE00000390707_056 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,254.0,163.0,286.0,0.0,0.0,1598.0,0.0,1167.0,0.0
ENSE00000390707_057 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1804.0,123.0,2245.0,138.0,1.0,4185.0,40.0,1106.0,149.0
ENSE00000390707_058 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,7046.0,58.0,4484.0,96.0,30.0,7562.0,0.0,4274.0,200.0
ENSE00000390707_059 mut chr17:42332540-42332709 strand=-1 len=35.90.45,22.0,2364.0,1.0,1181.0,0.0,1.0,2216.0,0.0,2279.0,0.0
ENSE00000390707_060 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,3278.0,111.0,2251.0,42.0,11.0,4462.0,0.0,3040.0,160.0
ENSE00000390707_061 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,4158.0,126.0,2888.0,65.0,0.0,3002.0,6.0,2016.0,0.0
ENSE00000390707_062 mut chr17:42332540-42332709 strand=-1 len=35.90.45,1.0,4592.0,70.0,2860.0,17.0,1.0,5153.0,64.0,5051.0,0.0
ENSE00000390707_063 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1439.0,0.0,811.0,0.0,3.0,4304.0,0.0,3702.0,0.0
ENSE00000390707_064 mut chr17:42332540-42332709 strand=-1 len=35.90.45,356.0,2025.0,167.0,1800.0,529.0,0.0,2777.0,11.0,1744.0,2519.0
ENSE00000390707_065 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,3430.0,41.0,2559.0,158.0,0.0,1601.0,112.0,1327.0,435.0
ENSE00000390707_066 mut chr17:42332540-42332709 strand=-1 len=35.90.45,14.0,1441.0,17.0,890.0,1.0,5.0,2319.0,122.0,2388.0,0.0
ENSE00000390707_067 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1539.0,119.0,845.0,53.0,0.0,2251.0,0.0,2186.0,0.0
ENSE00000390707_068 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1918.0,0.0,1298.0,0.0,4.0,1884.0,0.0,977.0,0.0
ENSE00000390707_069 mut chr17:42332540-42332709 strand=-1 len=35.90.45,8.0,1495.0,1.0,1195.0,0.0,0.0,1363.0,0.0,1156.0,0.0
ENSE00000390707_070 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,3841.0,6.0,2029.0,136.0,7.0,6210.0,0.0,915.0,20.0
ENSE00000390707_071 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,706.0,7.0,825.0,0.0,1.0,3286.0,0.0,1959.0,198.0
ENSE00000390707_072 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,644.0,1.0,506.0,0.0,0.0,2329.0,0.0,1779.0,131.0
ENSE00000390707_073 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,130.0,6.0,45.0,0.0,0.0,64.0,0.0,28.0,0.0
ENSE00000390707_074 mut chr17:42332540-42332709 strand=-1 len=35.90.45,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
"ENSE00000394466 chr4:5851080-5851249 strand=-1 len=39.81.50 ccds=CCDS43207.1,CCDS43207.1,CCDS33950.1",0.0,1.0,1.0,2.0,17.0,0.0,0.0,0.0,3.0,5.0
"ENSE00000400053 chr7:150913005-150913174 strand=-1 len=48.63.59 ccds=CCDS5922.1,CCDS5923.1",1.0,5.0,4.0,31.0,168.0,0.0,0.0,1.0,33.0,94.0
ENSE00000401072 chrX:99887444-99887613 strand=-1 len=38.84.48 ccds=CCDS14470.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0
"ENSE00000406138 chr8:87549743-87549912 strand=1 len=48.84.38 ccds=CCDS6243.1,CCDS6243.1",0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,38.0
ENSE00000406871 chr17:26912304-26912473 strand=-1 len=33.93.44 ccds=CCDS32594.1,0.0,0.0,1.0,1.0,12.0,0.0,0.0,17.0,18.0,62.0
ENSE00000406882 chr17:26905651-26905820 strand=-1 len=39.81.50 ccds=CCDS32594.1,0.0,27.0,1.0,18.0,2.0,0.0,32.0,0.0,14.0,0.0
"ENSE00000411838 chr2:211447297-211447466 strand=1 len=44.93.33 ccds=CCDS2393.1,CCDS46505.1",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,15.0
"ENSE00000411839 chr2:211452737-211452906 strand=1 len=45.90.35 ccds=CCDS2393.1,CCDS46505.1",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"ENSE00000411843 chr2:211457552-211457721 strand=1 len=51.78.41 ccds=CCDS2393.1,CCDS46505.1",0.0,3.0,4.0,12.0,57.0,0.0,1.0,3.0,24.0,79.0
"ENSE00000411861 chr2:211518698-211518867 strand=1 len=51.78.41 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",0.0,0.0,2.0,9.0,21.0,0.0,3.0,6.0,24.0,54.0
"ENSE00000411863 chr2:211523278-211523447 strand=1 len=45.90.35 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",0.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,4.0,0.0
"ENSE00000411866 chr2:211532869-211533038 strand=1 len=41.99.30 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",3.0,2.0,2.0,21.0,114.0,0.0,2.0,1.0,51.0,70.0
"ENSE00000411867 chr2:211539566-211539735 strand=1 len=60.60.50 ccds=CCDS2393.1,CCDS46505.1,CCDS46506.1",0.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,17.0,59.0
"ENSE00000412978 chrX:149912789-149912958 strand=1 len=44.93.33 ccds=CCDS14695.1,CCDS14695.1",0.0,1.0,2.0,8.0,20.0,0.0,0.0,2.0,5.0,8.0
ENSE00000415302 chr1:202302335-202302504 strand=-1 len=30.99.41 ccds=CCDS1425.1,0.0,80.0,2.0,48.0,0.0,0.0,48.0,1.0,55.0,0.0
"ENSE00000417418 chr2:15757327-15757496 strand=1 len=41.99.30 ccds=CCDS1686.1,CCDS1686.1",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
ENSE00000417581 chr2:118586463-118586632 strand=1 len=62.57.51 ccds=CCDS2120.1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0
ENSE00000417663 chr19:55666074-55666243 strand=-1 len=35.90.45 ccds=CCDS42628.1,510.0,52.0,0.0,934.0,562.0,138.0,6.0,0.0,64.0,5.0
"ENSE00000422478 chr4:71650465-71650634 strand=1 len=48.84.38 ccds=CCDS47068.1,CCDS34001.1,CCDS3547.1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
"ENSE00000430832 chr17:3486599-3486768 strand=-1 len=33.93.44 ccds=CCDS45576.1,CCDS45576.1",0.0,4.0,7.0,8.0,25.0,0.0,4.0,2.0,16.0,25.0
ENSE00000430832_001 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,1.0,0.0,16.0,0.0,0.0,6.0,3.0,7.0
ENSE00000430832_002 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,3.0,10.0
ENSE00000430832_003 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,10.0,0.0,4.0,0.0,7.0,14.0,13.0,9.0
ENSE00000430832_004 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,5.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0
ENSE00000430832_005 mut chr17:3486599-3486768 strand=-1 len=33.93.44,2.0,2.0,3.0,55.0,229.0,0.0,0.0,0.0,26.0,101.0
ENSE00000430832_006 mut chr17:3486599-3486768 strand=-1 len=33.93.44,3.0,3.0,2.0,19.0,95.0,0.0,1.0,0.0,12.0,10.0
ENSE00000430832_007 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
ENSE00000430832_008 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,15.0,17.0
ENSE00000430832_009 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,11.0,22.0
ENSE00000430832_010 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,5.0,0.0,4.0,0.0,0.0,6.0,0.0,5.0,0.0
ENSE00000430832_011 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,12.0,3.0,1.0,0.0,0.0,6.0,2.0,8.0
ENSE00000430832_012 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ENSE00000430832_013 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,3.0,2.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0
ENSE00000430832_014 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,5.0,0.0,2.0,0.0,0.0,13.0,6.0,13.0,7.0
ENSE00000430832_015 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,3.0,0.0,2.0,1.0,0.0,6.0,0.0,3.0,0.0
ENSE00000430832_016 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
ENSE00000430832_017 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,24.0,3.0,6.0,0.0,0.0,0.0,3.0,2.0
ENSE00000430832_018 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,21.0,5.0,4.0,0.0,2.0,6.0,3.0,9.0
ENSE00000430832_019 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,3.0,0.0
ENSE00000430832_020 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,5.0,0.0,2.0,0.0,0.0,4.0,0.0,10.0,0.0
ENSE00000430832_021 mut chr17:3486599-3486768 strand=-1 len=33.93.44,2.0,0.0,4.0,2.0,2.0,0.0,0.0,2.0,5.0,2.0
ENSE00000430832_022 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,1.0
ENSE00000430832_023 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0
ENSE00000430832_024 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
ENSE00000430832_025 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0
ENSE00000430832_026 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,23.0,4.0,1.0,0.0,1.0,11.0,2.0,1.0
ENSE00000430832_027 mut chr17:3486599-3486768 strand=-1 len=33.93.44,1.0,27.0,0.0,25.0,0.0,0.0,50.0,1.0,27.0,2.0
ENSE00000430832_028 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,2.0,1.0,3.0,15.0,0.0,0.0,0.0,4.0,8.0
ENSE00000430832_029 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,4.0,4.0
ENSE00000430832_030 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,9.0,2.0,4.0,0.0,0.0,6.0,1.0,13.0,0.0
ENSE00000430832_031 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,6.0
ENSE00000430832_032 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,3.0,3.0,3.0,0.0,0.0,5.0,8.0,7.0
ENSE00000430832_033 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,2.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0
ENSE00000430832_034 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,39.0,10.0,5.0,0.0,2.0,18.0,12.0,3.0
ENSE00000430832_035 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,1.0,2.0,10.0,0.0,0.0,0.0,5.0,11.0
ENSE00000430832_036 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,5.0,4.0,10.0,3.0,0.0,4.0,0.0,3.0,1.0
ENSE00000430832_037 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,6.0
ENSE00000430832_038 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,4.0,2.0,2.0,9.0,0.0,3.0,0.0,6.0,0.0
ENSE00000430832_039 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,22.0,0.0,4.0,0.0,0.0,18.0,0.0,3.0,0.0
ENSE00000430832_040 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,23.0,2.0,12.0,7.0,0.0,1.0,0.0,5.0,0.0
ENSE00000430832_041 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,8.0,3.0,3.0,0.0,0.0,5.0,7.0,2.0
ENSE00000430832_042 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,0.0,8.0,1.0,2.0,0.0,0.0,9.0,5.0,11.0
ENSE00000430832_043 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0
ENSE00000430832_044 mut chr17:3486599-3486768 strand=-1 len=33.93.44,0.0,13.0,0.0,8.0,0.0,0.0,5.0,0.0,10.0,1.0
