id,DP1S1,DP1S2,DP2S1,DP2S2,INT1S1,INT1S2,INT2S1,INT2S2,R1-PS,R2-PS,SP1S1,SP1S2,SP2S1,SP2S2
ENSE00000349542_014 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,35.0,19.0,38.0,97.0,1.0,4.0,2.0,0.0,0.0,0.0
ENSE00000349542_015 chr19:17440524-17440693 strand= - len=42.75.53,1.0,2.0,0.0,0.0,27.0,2.0,25.0,47.0,5.0,9.0,0.0,0.0,0.0,0.0
ENSE00000349542_016 chr19:17440524-17440693 strand= - len=42.75.53,4.0,0.0,0.0,0.0,29.0,29.0,37.0,88.0,6.0,6.0,0.0,0.0,0.0,0.0
ENSE00000349542_017 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,9.0,8.0,117.0,113.0,107.0,162.0,5.0,12.0,0.0,0.0,2.0,0.0
ENSE00000349542_018 chr19:17440524-17440693 strand= - len=42.75.53,2.0,13.0,5.0,0.0,28.0,0.0,17.0,0.0,19.0,11.0,1.0,0.0,0.0,0.0
ENSE00000349542_019 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,3.0,4.0,0.0,9.0,0.0
ENSE00000349542_020 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,16.0,9.0,11.0,8.0,8.0,1.0
ENSE00000349542_021 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,3.0,0.0,20.0,0.0,1.0,0.0,44.0,14.0,75.0,7.0,16.0,0.0
ENSE00000349542_022 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSE00000349542_023 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,20.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0
ENSE00000349542_024 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,13.0,17.0,0.0,0.0,17.0,21.0,5.0,3.0,0.0,0.0,1.0,0.0
ENSE00000349542_025 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0
ENSE00000349542_026 chr19:17440524-17440693 strand= - len=42.75.53,1.0,0.0,3.0,0.0,28.0,0.0,9.0,0.0,71.0,8.0,87.0,9.0,21.0,6.0
ENSE00000349542_027 chr19:17440524-17440693 strand= - len=42.75.53,0.0,0.0,0.0,0.0,6.0,6.0,8.0,0.0,14.0,1.0,10.0,6.0,0.0,0.0
ENSE00000349542_BRK chr19:17440524-17440693 strand= - len=42.75.53,91.0,180.0,80.0,44.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0
ENSE00000373145_000 chr14:94152873-94153042 strand= + len=45.90.35,13.0,1.0,14.0,6.0,34.0,8.0,54.0,8.0,161.0,130.0,315.0,32.0,212.0,24.0
ENSE00000373145_001 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
ENSE00000373145_002 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,8.0,1.0,3.0,0.0
ENSE00000373145_003 chr14:94152873-94153042 strand= + len=45.90.35,2.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,31.0,17.0,54.0,5.0,37.0,2.0
ENSE00000373145_004 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,18.0,0.0,6.0,2.0
ENSE00000373145_005 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,13.0,11.0,0.0,22.0,2.0
ENSE00000373145_006 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,13.0,2.0,13.0,0.0,10.0,0.0
ENSE00000373145_007 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,7.0,5.0,2.0,8.0,0.0
ENSE00000373145_008 chr14:94152873-94153042 strand= + len=45.90.35,1.0,0.0,0.0,0.0,15.0,0.0,9.0,0.0,53.0,22.0,97.0,17.0,31.0,6.0
ENSE00000373145_009 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0,0.0,13.0,0.0,4.0,0.0
ENSE00000373145_010 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,6.0,15.0,5.0,4.0,1.0
ENSE00000373145_011 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,5.0,26.0,13.0,0.0,32.0,4.0,25.0,42.0,53.0,6.0,113.0,8.0
ENSE00000373145_012 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSE00000373145_013 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,5.0,0.0
ENSE00000373145_014 chr14:94152873-94153042 strand= + len=45.90.35,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,3.0,10.0,1.0,0.0,0.0
ENSE00000373145_015 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,11.0,0.0,14.0,2.0
ENSE00000373145_016 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
ENSE00000373145_017 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,24.0,0.0,12.0,3.0
ENSE00000373145_018 chr14:94152873-94153042 strand= + len=45.90.35,1.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,49.0,16.0,91.0,11.0,34.0,2.0
ENSE00000373145_019 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,18.0,13.0,0.0,27.0,0.0
ENSE00000373145_020 chr14:94152873-94153042 strand= + len=45.90.35,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,28.0,21.0,43.0,3.0,30.0,2.0
ENSE00000373145_021 chr14:94152873-94153042 strand= + len=45.90.35,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,11.0,1.0,3.0,0.0
ENSE00000377990_000 chr19:45769421-45769590 strand= + len=62.57.51,2.0,0.0,4.0,4.0,133.0,27.0,87.0,35.0,101.0,44.0,86.0,22.0,42.0,9.0
ENSE00000377990_001 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,16.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
ENSE00000377990_002 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,17.0,11.0,30.0,42.0,5.0,10.0,3.0,0.0,2.0,0.0
ENSE00000377990_003 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,39.0,3.0,11.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0
ENSE00000377990_004 chr19:45769421-45769590 strand= + len=62.57.51,1.0,1.0,4.0,0.0,253.0,261.0,177.0,333.0,21.0,17.0,0.0,0.0,0.0,0.0
ENSE00000377990_005 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,20.0,57.0,21.0,42.0,0.0,3.0,0.0,0.0,0.0,0.0
ENSE00000377990_006 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,2.0,5.0,5.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0
ENSE00000377990_007 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,7.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSE00000377990_008 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
ENSE00000377990_009 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ENSE00000377990_010 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,69.0,53.0,31.0,37.0,7.0,6.0,1.0,0.0,0.0,0.0
ENSE00000377990_011 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
ENSE00000377990_012 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,12.0,0.0,70.0,45.0,74.0,46.0,21.0,42.0,11.0,1.0,33.0,1.0
ENSE00000377990_013 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000377990_014 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0
ENSE00000377990_015 chr19:45769421-45769590 strand= + len=62.57.51,1.0,0.0,0.0,0.0,9.0,1.0,7.0,3.0,5.0,3.0,10.0,2.0,1.0,0.0
ENSE00000377990_016 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,1.0,0.0,21.0,0.0,33.0,13.0,13.0,15.0,18.0,0.0,19.0,3.0
ENSE00000377990_017 chr19:45769421-45769590 strand= + len=62.57.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
ENSE00000377990_018 chr19:45769421-45769590 strand= + len=62.57.51,0.0,0.0,0.0,0.0,51.0,46.0,38.0,20.0,6.0,6.0,4.0,0.0,0.0,0.0
ENSE00000377990_BRK chr19:45769421-45769590 strand= + len=62.57.51,6.0,20.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ENSE00000379229_000 chrX:71895881-71896050 strand= - len=39.81.50,10.0,0.0,9.0,10.0,5.0,2.0,63.0,18.0,59.0,143.0,113.0,26.0,157.0,43.0
ENSE00000379229_BRK chrX:71895881-71896050 strand= - len=39.81.50,2.0,9.0,26.0,14.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
ENSE00000379234_000 chrX:71873253-71873422 strand= - len=32.96.42,2.0,0.0,1.0,0.0,17.0,2.0,0.0,3.0,28.0,27.0,38.0,2.0,24.0,7.0
ENSE00000400053_000 chr7:150913005-150913174 strand= - len=48.63.59,8.0,0.0,9.0,4.0,51.0,38.0,51.0,74.0,37.0,31.0,37.0,16.0,33.0,6.0
ENSE00000400053_BRK chr7:150913005-150913174 strand= - len=48.63.59,47.0,19.0,29.0,39.0,3.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0
ENSE00000406138_000 chr8:87549743-87549912 strand= + len=48.84.38,3.0,0.0,10.0,13.0,18.0,11.0,42.0,9.0,70.0,84.0,113.0,26.0,43.0,9.0
ENSE00000406138_BRK chr8:87549743-87549912 strand= + len=48.84.38,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000406871_000 chr17:26912304-26912473 strand= - len=33.93.44,1.0,2.0,1.0,7.0,480.0,449.0,398.0,613.0,76.0,35.0,7.0,1.0,2.0,0.0
ENSE00000406871_001 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,163.0,148.0,144.0,292.0,9.0,30.0,2.0,0.0,3.0,0.0
ENSE00000406871_002 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,17.0,10.0,14.0,29.0,3.0,2.0,0.0,0.0,0.0,0.0
ENSE00000406871_003 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,5.0,30.0,3.0,1.0,4.0,7.0,4.0,0.0,0.0,0.0
ENSE00000406871_004 chr17:26912304-26912473 strand= - len=33.93.44,3.0,0.0,0.0,0.0,121.0,124.0,93.0,218.0,17.0,1.0,0.0,0.0,1.0,0.0
ENSE00000406871_005 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,29.0,30.0,8.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
ENSE00000406871_006 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000406871_007 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
ENSE00000406871_008 chr17:26912304-26912473 strand= - len=33.93.44,12.0,36.0,56.0,109.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ENSE00000406871_009 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,53.0,30.0,34.0,47.0,14.0,11.0,9.0,0.0,0.0,0.0
ENSE00000406871_010 chr17:26912304-26912473 strand= - len=33.93.44,0.0,1.0,0.0,0.0,25.0,13.0,17.0,61.0,6.0,8.0,5.0,0.0,2.0,1.0
ENSE00000406871_011 chr17:26912304-26912473 strand= - len=33.93.44,3.0,1.0,0.0,0.0,149.0,100.0,60.0,99.0,24.0,3.0,0.0,0.0,2.0,6.0
ENSE00000406871_012 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,8.0,7.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
ENSE00000406871_013 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
ENSE00000406871_014 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,17.0,27.0,25.0,19.0,1.0,8.0,3.0,0.0,0.0,0.0
ENSE00000406871_015 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000406871_016 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,36.0,9.0,32.0,38.0,4.0,5.0,3.0,0.0,0.0,0.0
ENSE00000406871_017 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,2.0,3.0,13.0,2.0,10.0,14.0,18.0,4.0,16.0,4.0
ENSE00000406871_019 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,17.0,1.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
ENSE00000406871_021 chr17:26912304-26912473 strand= - len=33.93.44,7.0,0.0,47.0,49.0,2.0,0.0,13.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0
ENSE00000406871_022 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,42.0,31.0,51.0,58.0,5.0,3.0,0.0,0.0,0.0,0.0
ENSE00000406871_023 chr17:26912304-26912473 strand= - len=33.93.44,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,18.0,19.0,13.0,18.0,2.0
ENSE00000406871_024 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0
ENSE00000406871_025 chr17:26912304-26912473 strand= - len=33.93.44,0.0,0.0,0.0,0.0,1.0,8.0,9.0,12.0,3.0,1.0,0.0,0.0,4.0,0.0
ENSE00000406871_BRK chr17:26912304-26912473 strand= - len=33.93.44,16.0,11.0,6.0,31.0,1.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
ENSE00000411843_000 chr2:211457552-211457721 strand= + len=51.78.41,16.0,9.0,44.0,37.0,21.0,3.0,28.0,1.0,52.0,52.0,117.0,17.0,86.0,14.0
ENSE00000411843_BRK chr2:211457552-211457721 strand= + len=51.78.41,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000411861_000 chr2:211518698-211518867 strand= + len=51.78.41,6.0,1.0,4.0,4.0,121.0,84.0,121.0,167.0,15.0,19.0,0.0,0.0,4.0,1.0
ENSE00000411861_BRK chr2:211518698-211518867 strand= + len=51.78.41,4.0,23.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
ENSE00000411866_000 chr2:211532869-211533038 strand= + len=41.99.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0
ENSE00000411866_BRK chr2:211532869-211533038 strand= + len=41.99.30,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSE00000411867_000 chr2:211539566-211539735 strand= + len=60.60.50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,9.0,5.0
ENSE00000412978_000 chrX:149912789-149912958 strand= + len=44.93.33,12.0,9.0,31.0,19.0,483.0,469.0,540.0,791.0,175.0,134.0,84.0,2.0,56.0,8.0
ENSE00000412978_BRK chrX:149912789-149912958 strand= + len=44.93.33,6.0,22.0,79.0,160.0,16.0,0.0,5.0,0.0,34.0,7.0,24.0,4.0,2.0,0.0
ENSE00000417663_000 chr19:55666074-55666243 strand= - len=35.90.45,9.0,0.0,32.0,11.0,19.0,3.0,3.0,0.0,5.0,12.0,6.0,0.0,24.0,1.0
ENSE00000417663_002 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ENSE00000417663_004 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0
ENSE00000417663_006 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSE00000417663_009 chr19:55666074-55666243 strand= - len=35.90.45,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
ENSE00000417663_010 chr19:55666074-55666243 strand= - len=35.90.45,1.0,4.0,34.0,51.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ENSE00000417663_011 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0
ENSE00000417663_012 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,5.0,0.0
ENSE00000417663_013 chr19:55666074-55666243 strand= - len=35.90.45,5.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,11.0,0.0,12.0,0.0,7.0,2.0
ENSE00000417663_014 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
ENSE00000417663_017 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSE00000417663_018 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
ENSE00000417663_024 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSE00000417663_025 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,0.0,2.0,0.0
ENSE00000417663_026 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
ENSE00000417663_027 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
ENSE00000417663_028 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,2.0,0.0,2.0,1.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0
ENSE00000417663_031 chr19:55666074-55666243 strand= - len=35.90.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
